id	predict	actual
1207	Gloden	Gloden
1208	Bronze	Bronze
1209	Bronze	Normal
1210	Bronze	Silver
1211	Bronze	Bronze
1212	Bronze	Bronze
1213	Bronze	Bronze
1214	Bronze	Bronze
1215	Bronze	Bronze
1216	Bronze	Silver
1217	Bronze	Bronze
1218	Silver	Silver
1219	Silver	Normal
1220	Bronze	Bronze
1221	Normal	Gloden
1222	Bronze	Bronze
1223	Bronze	Silver
1224	Bronze	Bronze
1225	Bronze	Bronze
1226	Bronze	Bronze
1227	Gloden	Gloden
1228	Silver	Gloden
1229	Bronze	Bronze
1230	Bronze	Bronze
1231	Silver	Gloden
1232	Gloden	Gloden
1233	Bronze	Gloden
1234	Bronze	Bronze
1235	Bronze	Bronze
1236	Silver	Gloden
1237	Gloden	Silver
1238	Silver	Gloden
1239	Gloden	Gloden
1240	Gloden	Gloden
1241	Bronze	Bronze
1242	Silver	Silver
1243	Bronze	Bronze
1244	Normal	Normal
1245	Bronze	Bronze
1246	Bronze	Silver
1247	Bronze	Normal
1248	Silver	Gloden
1249	Bronze	Bronze
1250	Bronze	Bronze
1251	Bronze	Bronze
1252	Bronze	Silver
1253	Bronze	Bronze
1254	Normal	Bronze
1255	Normal	Normal
1256	Silver	Normal
1257	Bronze	Gloden
1258	Gloden	Gloden
1259	Bronze	Bronze
1260	Bronze	Bronze
1261	Bronze	Gloden
1262	Normal	Bronze
1263	Bronze	Bronze
1264	Gloden	Gloden
1265	Normal	Normal
1266	Gloden	Gloden
1267	Bronze	Bronze
1268	Bronze	Bronze
1269	Bronze	Bronze
1270	Silver	Silver
1271	Bronze	Bronze
1272	Normal	Gloden
1273	Bronze	Bronze
1274	Bronze	Gloden
1275	Bronze	Bronze
1276	Bronze	Normal
1277	Bronze	Bronze
1278	Bronze	Bronze
1279	Silver	Silver
1280	Normal	Bronze
1281	Bronze	Gloden
1282	Bronze	Bronze
1283	Normal	Gloden
1284	Bronze	Bronze
1285	Bronze	Silver
1286	Bronze	Bronze
1287	Normal	Normal
1288	Gloden	Bronze
1289	Normal	Bronze
1290	Normal	Bronze
1291	Bronze	Bronze
1292	Bronze	Normal
1293	Bronze	Bronze
1294	Bronze	Silver
1295	Bronze	Bronze
1296	Bronze	Bronze
1297	Normal	Normal
1298	Normal	Normal
1299	Bronze	Bronze
1300	Bronze	Gloden
1301	Bronze	Bronze
1302	Bronze	Silver
1303	Bronze	Silver
1304	Silver	Silver
1305	Normal	Bronze
1306	Bronze	Bronze
1307	Silver	Bronze
1308	Normal	Normal
1309	Bronze	Bronze
1310	Silver	Silver
1311	Silver	Silver
1312	Silver	Bronze
1313	Bronze	Normal
1314	Bronze	Bronze
1315	Gloden	Gloden
1316	Bronze	Bronze
1317	Normal	Normal
1318	Bronze	Bronze
1319	Normal	Normal
1320	Silver	Bronze
1321	Bronze	Bronze
1322	Bronze	Gloden
1323	Bronze	Silver
1324	Bronze	Bronze
1325	Bronze	Bronze
1326	Bronze	Bronze
1327	Bronze	Bronze
1328	Bronze	Bronze
1329	Bronze	Bronze
1330	Bronze	Bronze
1331	Gloden	Gloden
1332	Normal	Normal
1333	Bronze	Normal
1334	Bronze	Bronze
1335	Bronze	Silver
1336	Normal	Bronze
1337	Bronze	Bronze
1338	Bronze	Bronze
1339	Silver	Gloden
1340	Bronze	Bronze
1341	Normal	Normal
1342	Bronze	Bronze
1343	Bronze	Gloden
1344	Normal	Normal
1345	Bronze	Bronze
1346	Bronze	Bronze
1347	Bronze	Bronze
1348	Bronze	Bronze
1349	Bronze	Gloden
1350	Bronze	Bronze
1351	Gloden	Bronze
1352	Bronze	Gloden
1353	Bronze	Bronze
1354	Bronze	Bronze
1355	Gloden	Gloden
1356	Bronze	Bronze
1357	Bronze	Bronze
1358	Bronze	Bronze
1359	Gloden	Gloden
1360	Bronze	Bronze
1361	Silver	Silver
1362	Bronze	Bronze
1363	Bronze	Normal
1364	Bronze	Bronze
1365	Bronze	Gloden
1366	Bronze	Gloden
1367	Bronze	Gloden
1368	Bronze	Bronze
1369	Bronze	Bronze
1370	Bronze	Bronze
1371	Bronze	Bronze
1372	Gloden	Gloden
1373	Normal	Normal
1374	Gloden	Gloden
1375	Bronze	Bronze
1376	Bronze	Bronze
1377	Bronze	Bronze
1378	Gloden	Gloden
1379	Bronze	Gloden
1380	Bronze	Silver
1381	Normal	Bronze
1382	Gloden	Gloden
1383	Normal	Normal
1384	Bronze	Bronze
1385	Gloden	Gloden
1386	Silver	Silver
1387	Bronze	Silver
1388	Normal	Normal
1389	Normal	Normal
1390	Silver	Bronze
1391	Bronze	Bronze
1392	Bronze	Bronze
1393	Bronze	Normal
1394	Silver	Bronze
1395	Bronze	Normal
1396	Bronze	Bronze
1397	Bronze	Bronze
1398	Bronze	Bronze
1399	Silver	Gloden
1400	Bronze	Silver
1401	Bronze	Bronze
1402	Bronze	Silver
1403	Bronze	Bronze
1404	Bronze	Bronze
1405	Normal	Normal
1406	Silver	Silver
1407	Bronze	Silver
1408	Bronze	Bronze
1409	Normal	Gloden
1410	Bronze	Bronze
1411	Bronze	Bronze
1412	Bronze	Bronze
1413	Bronze	Bronze
1414	Bronze	Bronze
1415	Bronze	Bronze
1416	Silver	Bronze
1417	Bronze	Bronze
1418	Gloden	Gloden
1419	Bronze	Bronze
1420	Silver	Gloden
1421	Silver	Bronze
1422	Bronze	Bronze
1423	Bronze	Bronze
1424	Bronze	Bronze
1425	Normal	Normal
1426	Normal	Normal
1427	Bronze	Bronze
1428	Bronze	Bronze
1429	Bronze	Normal
1430	Bronze	Bronze
1431	Bronze	Bronze
1432	Bronze	Bronze
1433	Bronze	Silver
1434	Bronze	Bronze
1435	Bronze	Normal
1436	Bronze	Bronze
1437	Bronze	Bronze
1438	Bronze	Gloden
1439	Bronze	Bronze
1440	Bronze	Gloden
1441	Bronze	Bronze
1442	Gloden	Bronze
1443	Bronze	Silver
1444	Bronze	Bronze
1445	Normal	Normal
1446	Normal	Normal
1447	Bronze	Silver
1448	Silver	Bronze
1449	Gloden	Gloden
1450	Bronze	Silver
1451	Bronze	Silver
1452	Bronze	Silver
1453	Bronze	Gloden
1454	Bronze	Bronze
1455	Bronze	Bronze
1456	Bronze	Bronze
1457	Normal	Bronze
1458	Normal	Normal
1459	Bronze	Gloden
1460	Bronze	Bronze
1461	Bronze	Silver
1462	Bronze	Silver
1463	Gloden	Normal
1464	Bronze	Bronze
1465	Bronze	Normal
1466	Bronze	Bronze
1467	Bronze	Bronze
1468	Normal	Normal
1469	Bronze	Silver
1470	Bronze	Silver
1471	Bronze	Bronze
1472	Gloden	Bronze
1473	Bronze	Bronze
1474	Bronze	Bronze
1475	Bronze	Gloden
1476	Bronze	Bronze
1477	Bronze	Bronze
1478	Bronze	Bronze
1479	Bronze	Silver
1480	Gloden	Gloden
1481	Bronze	Bronze
1482	Bronze	Bronze
1483	Bronze	Bronze
1484	Bronze	Bronze
1485	Bronze	Bronze
1486	Bronze	Bronze
1487	Normal	Gloden
1488	Bronze	Bronze
1489	Bronze	Bronze
1490	Bronze	Bronze
1491	Bronze	Bronze
1492	Normal	Gloden
1493	Normal	Normal
1494	Normal	Normal
1495	Bronze	Bronze
1496	Gloden	Gloden
1497	Bronze	Bronze
1498	Gloden	Silver
1499	Gloden	Gloden
1500	Bronze	Bronze
1501	Bronze	Bronze
1502	Bronze	Gloden
1503	Normal	Bronze
1504	Bronze	Bronze
1505	Bronze	Bronze
1506	Normal	Normal
1507	Bronze	Bronze
1508	Bronze	Bronze
1509	Bronze	Bronze
1510	Normal	Normal
1511	Normal	Silver
1512	Bronze	Bronze
1513	Normal	Normal
1514	Bronze	Bronze
1515	Silver	Normal
1516	Bronze	Bronze
1517	Bronze	Gloden
1518	Gloden	Gloden
1519	Silver	Bronze
1520	Silver	Silver
1521	Normal	Normal
1522	Gloden	Gloden
1523	Bronze	Bronze
1524	Normal	Bronze
1525	Bronze	Bronze
1526	Bronze	Normal
1527	Bronze	Bronze
1528	Bronze	Bronze
1529	Bronze	Gloden
1530	Silver	Bronze
1531	Bronze	Bronze
1532	Gloden	Gloden
1533	Bronze	Bronze
1534	Silver	Bronze
1535	Bronze	Bronze
1536	Normal	Bronze
1537	Bronze	Bronze
1538	Bronze	Bronze
1539	Bronze	Bronze
1540	Bronze	Bronze
1541	Bronze	Bronze
1542	Bronze	Bronze
1543	Bronze	Normal
1544	Bronze	Bronze
1545	Silver	Normal
1546	Bronze	Bronze
1547	Bronze	Silver
1548	Gloden	Silver
1549	Bronze	Silver
1550	Bronze	Bronze
1551	Bronze	Silver
1552	Gloden	Gloden
1553	Normal	Bronze
1554	Bronze	Silver
1555	Silver	Silver
1556	Bronze	Bronze
1557	Bronze	Bronze
1558	Silver	Bronze
1559	Bronze	Bronze
1560	Bronze	Gloden
1561	Bronze	Bronze
1562	Bronze	Silver
1563	Bronze	Silver
1564	Gloden	Bronze
1565	Bronze	Bronze
1566	Bronze	Bronze
1567	Bronze	Bronze
1568	Bronze	Bronze
1569	Gloden	Gloden
1570	Silver	Silver
1571	Bronze	Bronze
1572	Gloden	Bronze
1573	Bronze	Silver
1574	Bronze	Bronze
1575	Bronze	Gloden
1576	Bronze	Bronze
1577	Bronze	Gloden
1578	Normal	Normal
1579	Bronze	Normal
1580	Bronze	Silver
1581	Normal	Silver
1582	Bronze	Silver
1583	Bronze	Bronze
1584	Bronze	Bronze
1585	Bronze	Bronze
1586	Bronze	Bronze
1587	Silver	Gloden
1588	Normal	Normal
1589	Gloden	Gloden
1590	Bronze	Bronze
1591	Normal	Normal
1592	Bronze	Bronze
1593	Bronze	Bronze
1594	Silver	Silver
1595	Bronze	Bronze
1596	Bronze	Normal
1597	Silver	Normal
1598	Bronze	Bronze
1599	Bronze	Bronze
1600	Bronze	Bronze
1601	Bronze	Bronze
1602	Normal	Gloden
1603	Normal	Silver
1604	Normal	Bronze
1605	Bronze	Bronze
1606	Normal	Bronze
1607	Bronze	Bronze
1608	Bronze	Bronze
1609	Gloden	Gloden
1610	Gloden	Gloden
1611	Silver	Bronze
1612	Bronze	Silver
1613	Gloden	Silver
1614	Gloden	Gloden
1615	Bronze	Bronze
1616	Bronze	Bronze
1617	Bronze	Bronze
1618	Bronze	Bronze
1619	Bronze	Bronze
1620	Bronze	Bronze
1621	Bronze	Bronze
1622	Bronze	Silver
1623	Normal	Normal
1624	Gloden	Gloden
1625	Bronze	Bronze
1626	Normal	Normal
1627	Bronze	Silver
1628	Bronze	Bronze
1629	Silver	Bronze
1630	Bronze	Bronze
1631	Normal	Normal
1632	Normal	Normal
1633	Bronze	Bronze
1634	Bronze	Silver
1635	Bronze	Bronze
1636	Gloden	Gloden
1637	Gloden	Gloden
1638	Bronze	Bronze
1639	Bronze	Normal
1640	Bronze	Gloden
1641	Bronze	Bronze
1642	Normal	Normal
1643	Bronze	Bronze
1644	Gloden	Bronze
1645	Gloden	Bronze
1646	Bronze	Silver
1647	Gloden	Gloden
1648	Gloden	Gloden
1649	Bronze	Bronze
1650	Bronze	Bronze
1651	Gloden	Bronze
1652	Silver	Silver
1653	Bronze	Bronze
1654	Bronze	Bronze
1655	Gloden	Gloden
1656	Gloden	Gloden
1657	Bronze	Bronze
1658	Bronze	Bronze
1659	Bronze	Bronze
1660	Normal	Bronze
1661	Normal	Normal
1662	Bronze	Bronze
1663	Normal	Normal
1664	Silver	Silver
1665	Gloden	Gloden
1666	Silver	Bronze
1667	Gloden	Bronze
1668	Bronze	Bronze
1669	Bronze	Gloden
1670	Bronze	Gloden
1671	Bronze	Bronze
1672	Bronze	Bronze
1673	Bronze	Bronze
1674	Normal	Normal
1675	Silver	Bronze
1676	Normal	Normal
1677	Bronze	Bronze
1678	Bronze	Silver
1679	Bronze	Bronze
1680	Bronze	Bronze
1681	Bronze	Silver
1682	Bronze	Bronze
1683	Bronze	Silver
1684	Bronze	Bronze
1685	Silver	Silver
1686	Bronze	Gloden
1687	Bronze	Bronze
1688	Normal	Normal
1689	Bronze	Silver
1690	Silver	Bronze
1691	Bronze	Bronze
1692	Bronze	Bronze
1693	Bronze	Bronze
1694	Gloden	Normal
1695	Silver	Normal
1696	Bronze	Silver
1697	Bronze	Gloden
1698	Bronze	Bronze
1699	Bronze	Bronze
1700	Silver	Silver
1701	Bronze	Normal
1702	Bronze	Bronze
1703	Normal	Normal
1704	Bronze	Silver
1705	Bronze	Silver
1706	Gloden	Bronze
1707	Bronze	Bronze
1708	Bronze	Bronze
1709	Gloden	Gloden
1710	Gloden	Bronze
1711	Bronze	Bronze
1712	Silver	Silver
1713	Bronze	Bronze
1714	Normal	Bronze
1715	Bronze	Silver
1716	Bronze	Silver
1717	Bronze	Bronze
1718	Bronze	Bronze
1719	Gloden	Gloden
1720	Bronze	Silver
1721	Bronze	Normal
1722	Bronze	Bronze
1723	Bronze	Silver
1724	Bronze	Silver
1725	Bronze	Bronze
1726	Gloden	Gloden
1727	Bronze	Bronze
1728	Bronze	Bronze
1729	Normal	Normal
1730	Silver	Silver
1731	Normal	Gloden
1732	Bronze	Bronze
1733	Gloden	Silver
1734	Bronze	Bronze
1735	Bronze	Gloden
1736	Bronze	Bronze
1737	Bronze	Bronze
1738	Gloden	Bronze
1739	Bronze	Gloden
1740	Bronze	Bronze
1741	Normal	Normal
1742	Silver	Bronze
1743	Bronze	Bronze
1744	Normal	Normal
1745	Bronze	Bronze
1746	Bronze	Bronze
1747	Silver	Gloden
1748	Bronze	Bronze
1749	Bronze	Bronze
1750	Gloden	Gloden
1751	Bronze	Bronze
1752	Bronze	Silver
1753	Bronze	Bronze
1754	Bronze	Silver
1755	Normal	Gloden
1756	Bronze	Bronze
1757	Bronze	Normal
1758	Bronze	Bronze
1759	Silver	Gloden
1760	Silver	Bronze
1761	Gloden	Gloden
1762	Bronze	Gloden
1763	Bronze	Bronze
1764	Bronze	Bronze
1765	Normal	Silver
1766	Normal	Normal
1767	Silver	Silver
1768	Bronze	Gloden
1769	Bronze	Gloden
1770	Gloden	Gloden
1771	Bronze	Bronze
1772	Bronze	Silver
1773	Bronze	Bronze
1774	Normal	Normal
1775	Bronze	Bronze
1776	Bronze	Bronze
1777	Bronze	Silver
1778	Normal	Normal
1779	Bronze	Bronze
1780	Bronze	Bronze
1781	Normal	Normal
1782	Silver	Silver
1783	Gloden	Bronze
1784	Bronze	Gloden
1785	Silver	Silver
1786	Gloden	Silver
1787	Bronze	Silver
1788	Bronze	Bronze
1789	Gloden	Gloden
1790	Silver	Gloden
1791	Silver	Silver
1792	Bronze	Gloden
1793	Silver	Silver
1794	Bronze	Bronze
1795	Bronze	Bronze
1796	Bronze	Bronze
1797	Bronze	Normal
1798	Bronze	Bronze
1799	Bronze	Bronze
1800	Bronze	Bronze
1801	Bronze	Bronze
1802	Bronze	Bronze
1803	Bronze	Bronze
1804	Bronze	Bronze
1805	Bronze	Bronze
1806	Gloden	Gloden
1807	Bronze	Bronze
1808	Bronze	Gloden
1809	Bronze	Bronze
1810	Normal	Bronze
1811	Gloden	Gloden
1812	Bronze	Bronze
1813	Bronze	Gloden
1814	Bronze	Bronze
1815	Normal	Normal
1816	Bronze	Bronze
1817	Normal	Normal
1818	Bronze	Bronze
1819	Gloden	Gloden
1820	Silver	Silver
1821	Bronze	Bronze
1822	Normal	Normal
1823	Bronze	Silver
1824	Bronze	Bronze
1825	Normal	Normal
1826	Bronze	Normal
1827	Silver	Gloden
1828	Bronze	Silver
1829	Bronze	Silver
1830	Gloden	Silver
1831	Bronze	Bronze
1832	Normal	Normal
1833	Normal	Normal
1834	Bronze	Silver
1835	Bronze	Bronze
1836	Normal	Normal
1837	Bronze	Bronze
1838	Silver	Silver
1839	Gloden	Bronze
1840	Normal	Bronze
1841	Silver	Normal
1842	Gloden	Gloden
1843	Silver	Silver
1844	Bronze	Bronze
1845	Normal	Normal
1846	Bronze	Gloden
1847	Silver	Bronze
1848	Bronze	Normal
1849	Normal	Normal
1850	Normal	Bronze
1851	Gloden	Bronze
1852	Bronze	Bronze
1853	Bronze	Bronze
1854	Silver	Gloden
1855	Bronze	Bronze
1856	Normal	Normal
1857	Normal	Normal
1858	Bronze	Bronze
1859	Silver	Bronze
1860	Bronze	Bronze
1861	Bronze	Bronze
1862	Silver	Normal
1863	Normal	Normal
1864	Gloden	Gloden
1865	Normal	Normal
1866	Bronze	Bronze
1867	Normal	Bronze
1868	Bronze	Gloden
1869	Bronze	Bronze
1870	Normal	Bronze
1871	Bronze	Bronze
1872	Gloden	Silver
1873	Silver	Gloden
1874	Bronze	Bronze
1875	Silver	Silver
1876	Bronze	Silver
1877	Normal	Bronze
1878	Bronze	Normal
1879	Bronze	Normal
1880	Bronze	Bronze
1881	Bronze	Gloden
1882	Bronze	Bronze
1883	Bronze	Normal
1884	Bronze	Bronze
1885	Bronze	Bronze
1886	Normal	Bronze
1887	Gloden	Bronze
1888	Gloden	Gloden
1889	Bronze	Bronze
1890	Normal	Normal
1891	Silver	Silver
1892	Bronze	Bronze
1893	Bronze	Silver
1894	Silver	Bronze
1895	Gloden	Gloden
1896	Bronze	Silver
1897	Bronze	Gloden
1898	Gloden	Gloden
1899	Bronze	Bronze
1900	Silver	Silver
1901	Bronze	Bronze
1902	Normal	Bronze
1903	Bronze	Bronze
1904	Bronze	Silver
1905	Bronze	Silver
1906	Bronze	Bronze
1907	Bronze	Bronze
1908	Gloden	Gloden
1909	Bronze	Bronze
1910	Bronze	Silver
1911	Normal	Gloden
1912	Bronze	Bronze
1913	Bronze	Bronze
1914	Bronze	Silver
1915	Bronze	Gloden
1916	Bronze	Bronze
1917	Silver	Silver
1918	Bronze	Bronze
1919	Normal	Normal
1920	Bronze	Bronze
1921	Gloden	Bronze
1922	Normal	Gloden
1923	Silver	Bronze
1924	Normal	Normal
1925	Bronze	Bronze
1926	Normal	Normal
1927	Gloden	Silver
1928	Bronze	Bronze
1929	Normal	Normal
1930	Bronze	Bronze
1931	Normal	Normal
1932	Bronze	Bronze
1933	Bronze	Silver
1934	Gloden	Gloden
1935	Bronze	Normal
1936	Gloden	Bronze
1937	Normal	Normal
1938	Bronze	Bronze
1939	Bronze	Silver
1940	Bronze	Bronze
1941	Silver	Silver
1942	Silver	Bronze
1943	Bronze	Silver
1944	Bronze	Bronze
1945	Bronze	Bronze
1946	Normal	Normal
1947	Normal	Normal
1948	Gloden	Gloden
1949	Normal	Bronze
1950	Bronze	Bronze
1951	Normal	Normal
1952	Gloden	Gloden
1953	Bronze	Bronze
1954	Silver	Silver
1955	Gloden	Gloden
1956	Bronze	Bronze
1957	Bronze	Bronze
1958	Normal	Normal
1959	Silver	Normal
1960	Bronze	Bronze
1961	Gloden	Bronze
1962	Normal	Gloden
1963	Gloden	Silver
1964	Bronze	Bronze
1965	Bronze	Bronze
1966	Bronze	Bronze
1967	Bronze	Silver
1968	Gloden	Gloden
1969	Silver	Bronze
1970	Gloden	Gloden
1971	Gloden	Gloden
1972	Bronze	Bronze
1973	Bronze	Normal
1974	Silver	Normal
1975	Silver	Bronze
1976	Normal	Bronze
1977	Bronze	Bronze
1978	Silver	Silver
1979	Bronze	Silver
1980	Bronze	Bronze
1981	Bronze	Normal
1982	Gloden	Gloden
1983	Bronze	Normal
1984	Bronze	Normal
1985	Bronze	Silver
1986	Bronze	Normal
1987	Bronze	Bronze
1988	Bronze	Bronze
1989	Bronze	Bronze
1990	Bronze	Bronze
1991	Silver	Gloden
1992	Bronze	Bronze
1993	Silver	Gloden
1994	Bronze	Bronze
1995	Bronze	Bronze
1996	Bronze	Bronze
1997	Bronze	Silver
1998	Bronze	Bronze
1999	Normal	Normal
2000	Normal	Normal
2001	Bronze	Bronze
2002	Bronze	Silver
2003	Normal	Normal
2004	Bronze	Normal
2005	Silver	Silver
2006	Bronze	Bronze
2007	Silver	Normal
2008	Bronze	Bronze
2009	Bronze	Bronze
2010	Bronze	Silver
2011	Normal	Normal
2012	Bronze	Bronze
2013	Silver	Bronze
2014	Gloden	Gloden
2015	Gloden	Silver
2016	Bronze	Normal
2017	Normal	Normal
2018	Bronze	Bronze
2019	Normal	Normal
2020	Bronze	Bronze
2021	Gloden	Gloden
2022	Bronze	Bronze
2023	Bronze	Bronze
2024	Bronze	Silver
2025	Gloden	Bronze
2026	Gloden	Gloden
2027	Normal	Gloden
2028	Bronze	Silver
2029	Bronze	Bronze
2030	Bronze	Bronze
2031	Normal	Normal
2032	Bronze	Normal
2033	Gloden	Gloden
2034	Bronze	Silver
2035	Bronze	Gloden
2036	Silver	Bronze
2037	Silver	Bronze
2038	Bronze	Silver
2039	Gloden	Gloden
2040	Bronze	Bronze
2041	Gloden	Gloden
2042	Normal	Normal
2043	Bronze	Bronze
2044	Bronze	Bronze
2045	Bronze	Bronze
2046	Bronze	Bronze
2047	Normal	Normal
2048	Gloden	Gloden
2049	Bronze	Bronze
2050	Bronze	Bronze
2051	Silver	Gloden
2052	Bronze	Bronze
2053	Bronze	Gloden
2054	Gloden	Bronze
2055	Gloden	Gloden
2056	Bronze	Bronze
2057	Bronze	Bronze
2058	Gloden	Gloden
2059	Bronze	Gloden
2060	Normal	Normal
2061	Gloden	Gloden
2062	Bronze	Silver
2063	Normal	Normal
2064	Bronze	Bronze
2065	Bronze	Bronze
2066	Bronze	Bronze
2067	Silver	Silver
2068	Bronze	Bronze
2069	Bronze	Bronze
2070	Bronze	Bronze
2071	Bronze	Bronze
2072	Bronze	Bronze
2073	Bronze	Silver
2074	Bronze	Bronze
2075	Bronze	Bronze
2076	Gloden	Gloden
2077	Bronze	Bronze
2078	Bronze	Normal
2079	Bronze	Gloden
2080	Normal	Normal
2081	Silver	Bronze
2082	Normal	Normal
2083	Bronze	Bronze
2084	Bronze	Bronze
2085	Bronze	Silver
2086	Bronze	Bronze
2087	Bronze	Bronze
2088	Bronze	Bronze
2089	Bronze	Bronze
2090	Bronze	Bronze
2091	Bronze	Bronze
2092	Silver	Silver
2093	Silver	Silver
2094	Bronze	Bronze
2095	Bronze	Bronze
2096	Silver	Gloden
2097	Silver	Bronze
2098	Bronze	Bronze
2099	Bronze	Bronze
2100	Bronze	Silver
2101	Normal	Gloden
2102	Normal	Gloden
2103	Gloden	Gloden
2104	Gloden	Gloden
2105	Gloden	Gloden
2106	Bronze	Bronze
2107	Gloden	Bronze
2108	Bronze	Normal
2109	Bronze	Bronze
2110	Bronze	Normal
2111	Bronze	Bronze
2112	Bronze	Bronze
2113	Bronze	Normal
2114	Bronze	Silver
2115	Bronze	Bronze
2116	Bronze	Bronze
2117	Gloden	Bronze
2118	Normal	Normal
2119	Bronze	Bronze
2120	Bronze	Bronze
2121	Gloden	Gloden
2122	Bronze	Silver
2123	Bronze	Bronze
2124	Bronze	Bronze
2125	Gloden	Gloden
2126	Normal	Normal
2127	Bronze	Bronze
2128	Bronze	Bronze
2129	Bronze	Bronze
2130	Bronze	Bronze
2131	Bronze	Bronze
2132	Bronze	Gloden
2133	Bronze	Bronze
2134	Bronze	Bronze
2135	Bronze	Gloden
2136	Bronze	Bronze
2137	Bronze	Bronze
2138	Bronze	Normal
2139	Bronze	Silver
2140	Bronze	Normal
2141	Bronze	Bronze
2142	Bronze	Bronze
2143	Bronze	Normal
2144	Bronze	Bronze
2145	Bronze	Bronze
2146	Gloden	Silver
2147	Gloden	Bronze
2148	Bronze	Bronze
2149	Gloden	Silver
2150	Bronze	Bronze
2151	Bronze	Bronze
2152	Normal	Normal
2153	Bronze	Normal
2154	Normal	Normal
2155	Bronze	Bronze
2156	Normal	Gloden
2157	Bronze	Bronze
2158	Gloden	Gloden
2159	Bronze	Bronze
2160	Bronze	Silver
2161	Bronze	Silver
2162	Bronze	Bronze
2163	Bronze	Silver
2164	Bronze	Bronze
2165	Bronze	Bronze
2166	Bronze	Bronze
2167	Bronze	Bronze
2168	Normal	Normal
2169	Silver	Silver
2170	Bronze	Bronze
2171	Bronze	Bronze
2172	Bronze	Silver
2173	Bronze	Bronze
2174	Gloden	Gloden
2175	Bronze	Silver
2176	Bronze	Bronze
2177	Bronze	Bronze
2178	Bronze	Bronze
2179	Gloden	Gloden
2180	Normal	Bronze
2181	Normal	Bronze
2182	Bronze	Silver
2183	Silver	Bronze
2184	Bronze	Bronze
2185	Gloden	Bronze
2186	Normal	Normal
2187	Bronze	Bronze
2188	Silver	Silver
2189	Bronze	Normal
2190	Bronze	Gloden
2191	Silver	Silver
2192	Bronze	Bronze
2193	Bronze	Bronze
2194	Gloden	Gloden
2195	Bronze	Bronze
2196	Bronze	Silver
2197	Gloden	Gloden
2198	Normal	Silver
2199	Bronze	Bronze
2200	Bronze	Bronze
2201	Normal	Normal
2202	Gloden	Normal
2203	Bronze	Bronze
2204	Bronze	Silver
2205	Silver	Silver
2206	Normal	Bronze
2207	Bronze	Silver
2208	Bronze	Normal
2209	Gloden	Gloden
2210	Gloden	Gloden
2211	Bronze	Bronze
2212	Bronze	Bronze
2213	Bronze	Bronze
2214	Bronze	Bronze
2215	Gloden	Gloden
2216	Gloden	Gloden
2217	Bronze	Bronze
2218	Bronze	Bronze
2219	Normal	Gloden
2220	Bronze	Bronze
2221	Bronze	Bronze
2222	Bronze	Bronze
2223	Silver	Bronze
2224	Silver	Normal
2225	Bronze	Gloden
2226	Bronze	Normal
2227	Normal	Normal
2228	Gloden	Gloden
2229	Normal	Normal
2230	Bronze	Bronze
2231	Silver	Silver
2232	Bronze	Normal
2233	Gloden	Gloden
2234	Bronze	Silver
2235	Gloden	Gloden
2236	Silver	Bronze
2237	Bronze	Normal
2238	Silver	Bronze
2239	Gloden	Gloden
2240	Silver	Silver
2241	Gloden	Gloden
2242	Bronze	Bronze
2243	Bronze	Bronze
2244	Bronze	Bronze
2245	Normal	Normal
2246	Bronze	Bronze
2247	Bronze	Bronze
2248	Bronze	Bronze
2249	Bronze	Bronze
2250	Bronze	Gloden
2251	Normal	Normal
2252	Bronze	Bronze
2253	Normal	Normal
2254	Gloden	Silver
2255	Bronze	Normal
2256	Bronze	Bronze
2257	Gloden	Bronze
2258	Bronze	Silver
2259	Bronze	Normal
2260	Bronze	Bronze
2261	Bronze	Bronze
2262	Gloden	Bronze
2263	Bronze	Bronze
2264	Normal	Normal
2265	Bronze	Bronze
2266	Silver	Silver
2267	Normal	Normal
2268	Silver	Bronze
2269	Normal	Normal
2270	Bronze	Silver
2271	Bronze	Bronze
2272	Silver	Normal
2273	Bronze	Normal
2274	Silver	Silver
2275	Bronze	Bronze
2276	Gloden	Bronze
2277	Bronze	Bronze
2278	Bronze	Silver
2279	Gloden	Gloden
2280	Gloden	Gloden
2281	Bronze	Silver
2282	Gloden	Bronze
2283	Gloden	Bronze
2284	Bronze	Bronze
2285	Gloden	Normal
2286	Bronze	Normal
2287	Bronze	Bronze
2288	Silver	Bronze
2289	Bronze	Gloden
2290	Normal	Normal
2291	Gloden	Gloden
2292	Bronze	Bronze
2293	Bronze	Silver
2294	Normal	Normal
2295	Silver	Gloden
2296	Bronze	Normal
2297	Bronze	Normal
2298	Bronze	Bronze
2299	Bronze	Normal
2300	Normal	Normal
2301	Bronze	Bronze
2302	Bronze	Bronze
2303	Bronze	Bronze
2304	Bronze	Bronze
2305	Bronze	Bronze
2306	Gloden	Normal
2307	Gloden	Gloden
2308	Bronze	Bronze
2309	Bronze	Bronze
2310	Normal	Normal
2311	Bronze	Normal
2312	Bronze	Bronze
2313	Bronze	Bronze
2314	Bronze	Bronze
2315	Bronze	Bronze
2316	Bronze	Bronze
2317	Normal	Normal
2318	Bronze	Gloden
2319	Normal	Gloden
2320	Gloden	Gloden
2321	Bronze	Bronze
2322	Gloden	Gloden
2323	Bronze	Bronze
2324	Normal	Normal
2325	Normal	Normal
2326	Silver	Gloden
2327	Gloden	Silver
2328	Bronze	Gloden
2329	Bronze	Bronze
2330	Bronze	Bronze
2331	Bronze	Bronze
